Фото;Название;Описание;Год;Цена USD;Цена KGS
https://i.cars.kg/preview/r/0htEjuE6UpHE5ewBpqwzSA/1080x-/20220208/aa9c9b914925a462d083e88026369966.jpg;Toyota Ist 1 поколение Хетчбэк ,2003;"Хэтчбек,
                                        серебряный,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";2003;6100$; 517 280 сом 
https://i.cars.kg/preview/r/n39bFCyL3tCYotDcJfgaXw/1080x-/20220208/7749080a2294599f2bac9e51ca5c694c.jpg;Toyota Camry ,2018;"Седан,
                                        серый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2018;23900$; 2 026 720 сом 
https://i.cars.kg/preview/r/k60IB6d6Vo-l7do9BNyFvA/1080x-/20220208/ff6ea424ac5e92d3af0dfa2abc0bcbbb.jpg;Toyota Avalon XX40 Седан ,2015;"Седан,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2015;25500$; 2 162 400 сом 
https://i.cars.kg/preview/r/iOoCZsYHLSpMWC61SKJbog/1080x-/20220207/0a1786eb36b48915b16d1a4ff39499f9.jpg;Toyota Ist 1 поколение Хетчбэк ,2002;"Хэтчбек,
                                        серебряный,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";2002;5800$; 491 840 сом 
https://i.cars.kg/preview/r/7292GndMm3p9XQaA9ztqYw/1080x-/20220207/593f71764959eddf2e322508a7d2d9db.jpg;Toyota Ist 1 поколение Хетчбэк ,2002;"Хэтчбек,
                                        серебряный,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";2002;5000$; 424 000 сом 
https://i.cars.kg/preview/r/OaO34PpMzMgkxeK5XXZA7Q/1080x-/20220207/d8ebc77a3d43586c6be048f00615acce.jpg;Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник ,2018;"Внедорожник / Пикап,
                                        черный,
                                        2.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,";2018;51500$; 4 367 200 сом 
https://i.cars.kg/preview/r/O6DN8BGMLqtcAt--dP9sXg/1080x-/20220207/5a9bade3d0181248919bb80461f583d8.jpg;Toyota Camry XV50 [рестайлинг] Седан ,2016;"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2016;16800$; 1 424 640 сом 
https://i.cars.kg/preview/r/6j3_pGzGRkZyW0T1vMCr2w/1080x-/20220206/016e3fdcfeba96a0eb98b9fcb0644901.jpeg;Toyota Ipsum 2 поколение Минивэн ,2001;"Минивэн / Бус,
                                        белый жемчуг,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";2001;7000$; 593 600 сом 
https://i.cars.kg/preview/r/OYKkb0ruBuBe7wDPPNuxGw/1080x-/20220206/5418c73f88cd3819fd12c419f12fa4e2.jpg;Toyota Sequoia 1 поколение Внедорожник ,2003;"Внедорожник / Пикап,
                                        серебряный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,";2003;12800$; 1 085 440 сом 
https://i.cars.kg/preview/r/cEVRflUq2ftcKDDvxMEsag/1080x-/20220206/f5686e26efe4276365ea99be293691e5.jpg;Toyota Vista V40 Седан ,1996;"Седан,
                                        серебряный,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";1996;2948$; 250 000 сом 
https://i.cars.kg/preview/r/I6q_S4wOp4ehprW3-O6s3w/1080x-/20220206/877f07c4cceb20bdf70813946f9738fe.jpg;Toyota Camry XV30 [рестайлинг] Седан ,2005;"Седан,
                                        черный,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,";2005;8600$; 729 280 сом 
https://i.cars.kg/preview/r/zp4bJqDUE9jc55RqYBl_Bw/1080x-/20220205/d2db047fbc2cd1da32a46136127d6a69.jpeg;Toyota Camry XV30 ,2002;"Седан,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2002;7750$; 657 200 сом 
no photo;Toyota Land Cruiser J60 [рестайлинг] Внедорожник ,1988;"Внедорожник / Пикап,
                                        белый,
                                        3.0 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,";1988;5000$; 424 000 сом 
https://i.cars.kg/preview/r/IzeqGkvPm5543S59iVLr_g/1080x-/20220204/62e280eb1858e9d4bf96d9ce00e083e5.jpeg;Toyota Camry XV50 [рестайлинг] Седан ,2016;"Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2016;19000$; 1 611 200 сом 
